DNS,IP,DATE,TIME,COUNTRY_CODE,COUNTRY_NAME,REGION_CODE,REGION_NAME,CITY,ZIP_CODE,TIME_ZONE,LATITUDE,LONGITUDE,METRO_CODE,REQUEST,STATUS,SIZE,REFERER,CLIENT_NAME,CLIENT_TYPE,CLIENT_VERSION,OS_NAME,OS_VERSION,ENGINE,DEVICE_BRAND_NAME,DEVICE_MODEL,DEVICE_TYPE
www.akumenius.com,95.39.143.223,2014-02-28,20:26:55 +0100,ES,Spain,IB,Balearic Islands,Marratxí,07141,Europe/Madrid,39.6428,2.759,0,GET /modules/raton/views/themes/bcoos/images/buscadores/btobuscadorexterno.png HTTP/1.1,200,2540,http://www.akumenius.com/hotel-list,Android Browser,browser,null,Android,2.3.6,{'default': 'WebKit'},null,null,null
www.akumenius.com,200.106.114.232,2014-02-27,00:06:50 +0100,PE,Peru,LMA,Lima,Lima,null,America/Lima,-12.0464,-77.0428,0,GET /modules/raton/views/themes/bcoos/images/buscadores/fondo_inputcalraton.png HTTP/1.1,200,852,http://www.akumenius.com/,Chrome,browser,32.0.1700.107,Windows,7,"{'default': 'WebKit', 'versions': {28: 'Blink'}}",null,null,desktop
www.akumenius.com,66.249.76.216,2014-02-23,11:06:59 +0100,US,United States,null,null,null,null,America/Chicago,37.751,-97.822,0,GET /hoteles-baratos/ofertas-hotel-Three-Corners-Ocean-View-en-El%20Gouna-65511b-destinos.html HTTP/1.1,404,3100,,Googlebot,generic,2.1,null,null,null,null,null,null
www.akumenius.com,81.37.11.62,2014-02-26,22:53:15 +0100,ES,Spain,CT,Catalonia,Igualada,08700,Europe/Madrid,41.581,1.6172,0,GET /modules/raton/views/themes/bcoos/images/escapadas/portaventura.png HTTP/1.1,200,28562,http://www.akumenius.com/escapadas,Chrome,browser,32.0.1700.99,Android,4.4.2,"{'default': 'WebKit', 'versions': {28: 'Blink'}}",null,null,tablet
www.akumenius.com,66.249.76.216,2014-02-23,17:07:40 +0100,US,United States,null,null,null,null,America/Chicago,37.751,-97.822,0,GET /destinosCaracteristicas/hoteles-baratos-en-COSTA-DE-ALMER%C3%8DA_ESPA%C3%91A-con-Frigor%C3%ADfico HTTP/1.1,200,12024,,Googlebot,generic,2.1,null,null,null,null,null,null
www.akumenius.com,80.28.221.123,2014-02-27,16:48:23 +0100,ES,Spain,CT,Catalonia,null,08840,Europe/Madrid,41.3215,2.022,0,GET /libraries/anythingSlider/images/4a.png HTTP/1.1,304,304,"""http://www.akumenius.com/",Firefox,browser,3.6.17,Fedora,3.6.17,{'default': 'Gecko'},null,null,desktop
www.akumenius.com,66.249.76.216,2014-02-23,03:45:05 +0100,US,United States,null,null,null,null,America/Chicago,37.751,-97.822,0,GET /hoteles-baratos/ofertas-hotel-Mercure-Rabat-Sheherazade-en-Rabat-91458b-destinos.html HTTP/1.1,404,3100,,Googlebot,generic,2.1,null,null,null,null,null,null
www.akumenius.com,88.8.167.139,2014-02-26,08:44:10 +0100,ES,Spain,CT,Catalonia,Puigcerdà,17520,Europe/Madrid,42.4363,1.9269,0,GET /includes/images/uploaded/logo.png HTTP/1.1,200,11389,http://www.akumenius.com/hoteles-baratos/ofertas-hotel-Hotel-Confort-en-Mirepoix-221335b-destinos.html,Google Search App,mobile app,3.2.1.25875,iOS,7.0.6,null,null,null,null
www.akumenius.com,88.8.151.175,2014-02-23,14:37:56 +0100,ES,Spain,MD,Madrid,Colmenar Viejo,28770,Europe/Madrid,40.6599,-3.7638,0,POST /raton-search HTTP/1.1,200,26,http://www.akumenius.com/hotel-list,Chrome,browser,33.0.1750.117,Windows,8.1,"{'default': 'WebKit', 'versions': {28: 'Blink'}}",null,null,desktop
www.akumenius.com,217.125.71.222,2014-02-25,11:25:00 +0100,ES,Spain,AN,Andalusia,Tocina,41340,Europe/Madrid,37.609,-5.734,0,GET /escapadas HTTP/1.1,200,9509,http://www.akumenius.com/,Chrome,browser,33.0.1750.117,Windows,7,"{'default': 'WebKit', 'versions': {28: 'Blink'}}",null,null,desktop
www.akumenius.com,183.60.214.6,2014-02-24,08:00:27 +0100,CN,China,GD,Guangdong,Foshan,null,Asia/Shanghai,23.0287,113.1341,0,GET /hoteles-baratos/escapadas-hotel-entrada-Portaventura.html HTTP/1.1,404,3100,,Easou Com,null,null,null,null,null,null,null,null
www.akumenius.com,176.80.71.133,2014-02-27,22:23:40 +0100,ES,Spain,MD,Madrid,Madrid,28016,Europe/Madrid,40.4143,-3.7016,0,POST /raton-search HTTP/1.1,200,26,http://www.akumenius.com/hotel-list,Chrome,browser,33.0.1750.117,Windows,7,"{'default': 'WebKit', 'versions': {28: 'Blink'}}",null,null,desktop
www.akumenius.com,66.249.76.216,2014-02-25,11:58:08 +0100,US,United States,null,null,null,null,America/Chicago,37.751,-97.822,0,GET /destinos-caracteristicas/hoteles-baratos-en-Stalheim_NORUEGA-con-Parking HTTP/1.1,200,6388,,Googlebot,generic,2.1,null,null,null,null,null,null
www.akumenius.com,81.33.91.248,2014-02-24,12:40:09 +0100,ES,Spain,AS,Principality of Asturias,Langreo,33930,Europe/Madrid,43.3197,-5.7067,0,GET /libraries/jqueryui/js/jquery.ui.core.min.js HTTP/1.1,200,4365,http://www.akumenius.com/hoteles-baratos/hoteles-todo-incluido.html?gclid=CPb0vPfW5LwCFeXKtAodiTMA8w,Chrome,browser,31.0.1650.63,Windows,7,"{'default': 'WebKit', 'versions': {28: 'Blink'}}",null,null,desktop
www.akumenius.com,80.28.221.123,2014-02-24,09:40:27 +0100,ES,Spain,CT,Catalonia,null,08840,Europe/Madrid,41.3215,2.022,0,GET / HTTP/1.1,200,7528,http://www.akumenius.com/hoteles-baratos/hoteles-todo-incluido.html,Firefox,browser,3.6.17,Fedora,3.6.17,{'default': 'Gecko'},null,null,desktop
test.akumenius.com,80.28.221.123,2014-02-27,15:01:15 +0100,ES,Spain,CT,Catalonia,null,08840,Europe/Madrid,41.3215,2.022,0,GET /newdesign/libraries/anythingSlider/images/6a.png HTTP/1.1,304,304,"""http://test.akumenius.com/newdesign/",Firefox,browser,3.6.17,Fedora,3.6.17,{'default': 'Gecko'},null,null,desktop
